Model,Period_s,RMSE,R2,Sigma,Bias
BNN,0.044,1.170974,0.7629671096801758,1.166262,-0.10494215
BNN,0.045,1.1656432,0.7653003334999084,1.1489538,0.19653775
BNN,0.046,1.1728241,0.7626315951347351,1.1475922,0.24196756
BNN,0.048,1.217444,0.744781494140625,1.2135024,0.0978878
BNN,0.05,1.1545638,0.7709105610847473,1.1461873,0.13882107
BNN,0.055,1.2368789,0.7386729717254639,1.1788363,0.37445205
BNN,0.06,1.2055063,0.7531728744506836,1.1963787,0.14806765
BNN,0.065,1.2539335,0.7350527048110962,1.2308068,0.23971595
BNN,0.067,1.2003751,0.757910966873169,1.1951168,-0.11224727
BNN,0.07,1.2635816,0.7329130172729492,1.2618223,0.06664037
BNN,0.075,1.2479268,0.7414718866348267,1.2366326,-0.16752115
BNN,0.08,1.2590458,0.7391403913497925,1.2524917,-0.12829655
BNN,0.085,1.3551054,0.6997030377388,1.3166715,0.32044613
BNN,0.09,1.2987541,0.7258089780807495,1.2660557,0.2895972
BNN,0.095,1.3354964,0.711627721786499,1.3160136,0.22729106
BNN,0.1,1.3052554,0.7256397008895874,1.302829,-0.0795717
BNN,0.11,1.2450732,0.7512800097465515,1.2442054,0.0464482
BNN,0.12,1.3686332,0.6997814774513245,1.3066484,0.40721557
BNN,0.13,1.2971686,0.7304596900939941,1.2420219,0.37420142
BNN,0.133,1.3551925,0.705748975276947,1.353298,0.071618736
BNN,0.14,1.2883368,0.7338104248046875,1.2824794,-0.12271051
BNN,0.15,1.2698848,0.7406479120254517,1.2685558,0.058078263
BNN,0.16,1.268281,0.7407217025756836,1.2512274,-0.2072856
BNN,0.17,1.2245831,0.7577733993530273,1.2227634,0.06673319
BNN,0.18,1.2360697,0.7529358863830566,1.2344757,0.06276114
BNN,0.19,1.2490917,0.7474308013916016,1.24845,0.040020388
BNN,0.2,1.2980711,0.7251619696617126,1.2835952,0.19332047
BNN,0.22,1.229617,0.7501087784767151,1.2293175,0.02717311
BNN,0.24,1.21849,0.7518993020057678,1.2179208,-0.0372846
BNN,0.25,1.1834687,0.765321671962738,1.1763494,0.12962723
BNN,0.26,1.2043768,0.7564603686332703,1.1927611,-0.16687112
BNN,0.28,1.1489725,0.7773871421813965,1.1302577,0.20653267
BNN,0.29,1.2124689,0.7517939805984497,1.1964624,0.19636074
BNN,0.3,1.1703199,0.7683365941047668,1.1500427,0.21690874
BNN,0.32,1.1962404,0.7567886114120483,1.1893053,-0.12861253
BNN,0.34,1.2316695,0.7409399747848511,1.223588,0.14085859
BNN,0.35,1.1371078,0.7783430814743042,1.121058,0.1903761
BNN,0.36,1.1530585,0.7712060809135437,1.1518564,0.05264345
BNN,0.38,1.1509606,0.7703942656517029,1.1410913,0.15040222
BNN,0.4,1.0775796,0.7973180413246155,1.0773726,-0.02115577
BNN,0.42,1.1040531,0.7854508757591248,1.1040391,-0.005456243
BNN,0.44,1.0956782,0.787622332572937,1.0657983,-0.25413564
BNN,0.45,1.0442791,0.8065704107284546,1.0435803,-0.038209606
BNN,0.46,1.0720638,0.7957193851470947,1.0705987,0.056041576
BNN,0.48,1.0468929,0.8044266700744629,1.037757,0.1380035
BNN,0.5,1.0573033,0.7992547750473022,1.0553968,-0.063454814
BNN,0.55,1.0839735,0.7863367795944214,1.0600183,-0.22662975
BNN,0.6,1.0323337,0.8038281202316284,1.019882,-0.15985332
