Output,Period,Inter-event mean,Inter-region mean,Intra-event mean,tau,phi_r,phi,sigma
0.07s,0.07,-0.0034509833316857755,-8.276502619861951e-18,-4.786411153655104e-18,0.4266546221376751,4.9449555892959865e-18,0.8005169739185423,0.9071171876461951
0.075s,0.075,-0.004085110271303524,-7.017576769551624e-18,-1.5954703845517013e-18,0.4309227735483739,1.3005911989562681e-17,0.8086986445548046,0.9163448774710323
0.08s,0.08,-0.003848285641611983,-2.1563779416206583e-18,-1.5954703845517013e-18,0.43321645354954463,9.101141959910236e-18,0.8166554758838396,0.9244472196491832
0.085s,0.085,-0.002649885638114347,2.592639374896517e-18,1.5954703845517013e-18,0.434843162996577,1.8864422625416717e-17,0.8226898430710435,0.930541323261426
0.09s,0.09,-0.0014560145528000285,2.3433471273103097e-18,4.786411153655104e-18,0.4363068256726728,1.5737023269049084e-17,0.827401679145396,0.935391460716413
0.095s,0.095,-0.0005043577309373627,-9.597751532068816e-19,0.0,0.43792784966505277,9.369496736646457e-18,0.8312958234163575,0.939592224074751
0.1s,0.1,-3.6486653344733054e-05,-1.0096336027241235e-17,-7.977351922758506e-18,0.4383943893060657,1.373598711646913e-17,0.8326557999327189,0.9410129232569733
0.11s,0.11,-0.001340011453968221,9.560357694930895e-18,2.393205576827552e-18,0.43793426101308774,7.680553700548687e-18,0.8344084556688064,0.9423501938561278
0.12s,0.12,-0.00043426943231600297,-2.2934886777930714e-18,0.0,0.43515058392163336,9.852483861073796e-18,0.8352195965973211,0.9417790639144249
0.13s,0.13,-0.0010966312410671045,-8.725228665517116e-19,-3.988675961379253e-18,0.4286841072137593,3.177471582600937e-17,0.8335631979693828,0.9373354089047327
0.133s,0.133,-0.0008491774174896107,-3.9263528994827025e-18,0.0,0.42943598201169364,1.1874777973490187e-17,0.8320760174614543,0.9363577102159527
0.14s,0.14,-1.3240973310339614e-05,9.58528691968952e-18,6.381881538206805e-18,0.4269970602212259,1.484615468594938e-17,0.8299951776620205,0.9333908529548477
0.15s,0.15,0.0013339370153738785,-4.611906580344765e-19,-1.5954703845517013e-18,0.4234912996994946,1.2484029309894142e-17,0.8280416920120877,0.9300526461611774
0.16s,0.16,0.0019486065714689439,-1.0769425095723984e-17,-8.775087115034357e-18,0.4216987396162339,9.435648921870392e-18,0.8264794461969043,0.9278459473317011
0.17s,0.17,0.0025926326605927373,-6.868001420999902e-18,-2.393205576827552e-18,0.41881117834281667,1.107949171659886e-17,0.8225915113175177,0.9230707435492344
0.18s,0.18,0.0024042100870188383,5.534287896413713e-18,3.988675961379253e-18,0.41570649312766417,6.59319843722624e-18,0.8182585390397891,0.9178011359439641
0.19s,0.19,0.00319569522606742,1.6577934464482518e-18,-7.977351922758506e-19,0.4131334571703263,1.2732674345186224e-17,0.813497855250415,0.9123913710302892
0.2s,0.2,0.0037011871504434983,2.9790423586551302e-18,-7.977351922758506e-19,0.41139729136064934,1.5082216840126374e-17,0.809510618898449,0.9080502042553753
0.22s,0.22,0.0037660384005449394,-1.7712214190999745e-17,-1.6752439037792864e-17,0.4088405267948326,1.1718647590043953e-17,0.7990538484230535,0.8975731886757583
0.24s,0.24,0.004523381151453908,4.474795844172348e-18,1.5954703845517013e-18,0.40799092112727625,2.136984455698982e-17,0.7881652304497341,0.8875026885661619
0.25s,0.25,0.005026151286968944,-7.46941896830162e-18,-4.786411153655104e-18,0.40536158783038434,1.1490606362292601e-17,0.7830327178434575,0.8817359321824659
0.26s,0.26,0.006564028626829434,6.201144658706801e-19,7.977351922758506e-19,0.40209997127329733,8.260452924006354e-18,0.7775158300132554,0.8753372223430168
0.28s,0.28,0.006226575955610986,2.3433471273103117e-18,2.393205576827552e-18,0.3969575584950955,1.738040619031547e-17,0.7696499973350968,0.8659886960257054
0.29s,0.29,0.005348203250829346,3.141082319586164e-18,4.786411153655104e-18,0.3954884589653167,2.0247105397977827e-17,0.7636761949697317,0.8600072394684877
0.3s,0.3,0.00554724523870533,6.85553680862059e-18,3.988675961379253e-18,0.39238201920576554,1.5646761594505094e-17,0.7580940135615089,0.8536218029044191
0.32s,0.32,0.0051752714099476856,-4.150715922310286e-18,-4.786411153655104e-18,0.39127346473203295,1.2791359617158243e-17,0.7465710152220228,0.8428897940852358
0.34s,0.34,0.004570941347497495,-6.3444877010688746e-18,-3.1909407691034026e-18,0.3889157559119954,4.938858775271815e-18,0.7376520559265082,0.8338980877836351
0.35s,0.35,0.004215721883991287,-1.6453288340689414e-18,2.393205576827552e-18,0.3879645463650651,1.3770238158788726e-17,0.7335724873729974,0.8298464216147812
0.36s,0.36,0.004077426473250012,2.6798916615516855e-18,1.5954703845517013e-18,0.3850006214779072,6.634201052612119e-18,0.7300266371916319,0.8253268258985026
0.38s,0.38,0.0036905850425021994,5.484429446896471e-19,7.977351922758506e-19,0.38263047436426884,1.484648902082195e-17,0.723099892312723,0.8180950642650872
0.4s,0.4,0.004340044164384617,-6.444204600103356e-18,-2.393205576827552e-18,0.3807039180767805,1.347495107985924e-17,0.7186695869897103,0.8132782110095984
0.42s,0.42,0.005977541478134331,-2.2685594530344485e-18,0.0,0.3777419341662308,9.62032333829838e-18,0.7147959864086539,0.808469090945081
0.44s,0.44,0.006112294783691625,-3.739383713793036e-19,1.5954703845517013e-18,0.37518048330925524,1.2084697770314594e-17,0.7102699617666183,0.8032706976132764
0.45s,0.45,0.005720475527266839,1.6203996093103216e-19,-5.5841463459309545e-18,0.3727700964054689,1.492199304828317e-17,0.7086031244335206,0.8006721755694336
0.46s,0.46,0.005508861633842963,-3.116153094827549e-19,0.0,0.37114989227954265,8.378455747891903e-18,0.7065577845238182,0.798107853244361
0.48s,0.48,0.005679400014944794,-6.75581990958611e-18,-3.988675961379253e-18,0.36951746215307785,1.125508731242648e-17,0.7036252027918994,0.7947525280488216
0.5s,0.5,0.00533967172994861,2.30595329017238e-18,2.393205576827552e-18,0.3677860094476129,6.910447598783151e-18,0.6995701086297719,0.7903574416893097
0.55s,0.55,0.002842833226821661,1.6203996093103216e-19,4.786411153655104e-18,0.3669104197428879,1.8089180574852283e-17,0.6956166607123698,0.7864513937787448
0.6s,0.6,0.0024398745730335263,9.124096261655042e-18,7.179616730482656e-18,0.3619521170030341,1.1272989877649601e-17,0.6912526830881898,0.7802817483957954
0.65s,0.65,0.002373181216633002,4.586977355586142e-18,-1.5954703845517013e-18,0.3582798757871597,1.466070293171479e-17,0.6863075736809677,0.7741980076736955
0.667s,0.667,0.0016156604764249029,-2.430599413965482e-18,0.0,0.3592468123530108,9.035686311357297e-18,0.6842114331113207,0.7727894651106773
0.7s,0.7,9.351844372710762e-05,-8.725228665517117e-18,-4.786411153655104e-18,0.3620989324847119,1.0619271450699838e-17,0.6822386590371184,0.7723763491921108
0.75s,0.75,0.0022595141528768754,2.517851700620654e-18,-7.977351922758506e-19,0.36363169674546003,1.2414155557611537e-17,0.6805435669651199,0.7716006463291686
0.8s,0.8,0.0018741677799247233,-5.983013942068876e-19,-1.5954703845517013e-18,0.36555644243456575,4.5601524965575064e-18,0.6808596617618419,0.7727880638440696
0.85s,0.85,0.001687730578114823,-6.132589290620602e-18,7.977351922758506e-19,0.36441955122968295,7.971020907078303e-18,0.6790934235348951,0.770694159317941
